id,name,type,price,availability,viv_rating,num_viv_ratigns,viv_price
01155,Baron Edmond de Rothschild Montagne-Saint-Émilion 2016/18,Merlot,12.49,1,3.8,1628,19.99
06081,Gigondas Carobelle Organic 2019,"Grenache Mourvedre,Syrah",11.99,1,3.7,83,—
07034,"Pardon et Fils Fleurie 2020/21, Côte des Labourons",Gamay,11.99,1,3.8,134,—
61220,"Château Begadanet 2015, Médoc",Merlot,11.99,1,3.6,3217,15.00
09364,"Louis Latour 'Domaine de Valmoissine' Pinot Noir 2019/20, Var",Pinot Noir,11.99,1,3.7,16354,14.75
05380,Lulu l'Alouette Organic Saumur-Champigny 2019/20,Cabernet Franc,11.99,1,3.6,85,—
06318,"Beaumes-de-Venise 'La Traissiennes' 2020 Maison Bouachon, Rhône Valley",Grenache,11.99,1,3.7,52,—
07042,Georges Duboeuf Morgon 2020,Gamay,11.99,1,3.5,102,13.99
01009,"Château de Sainte Gemme 2013, Haut-Médoc",Cabernet Sauvignon,11.99,1,3.6,2602,10.99
61043,"Château Grimont 'Cuvée Prestige' 2017/18, Cadillac Côtes de Bordeaux",Merlot,11.99,1,3.7,1072,12.49
01161,"Château de Pitray 2017, Castillon Côtes de Bordeaux",Cabernet Franc,11.49,1,3.7,503,12.74
07129,Georges Duboeuf 'Flower Label' Fleurie 2020/21,Gamay,10.99,1,3.6,6690,11.00
06029,Paul Jaboulet Aîné 'Parallèle 45' Organic Côtes du Rhône 2019/20,Grenache,10.99,1,3.6,28287,11.99
01020,Château Méaume Bordeaux Supérieur 2018/19,Merlot,10.99,1,3.5,3016,13.00
61169,"Château L'Estran 2016, Médoc",Merlot,10.99,1,3.6,1913,12.99
06303,"Château Bouchassy 2019/20, Lirac",Grenache,10.99,1,3.6,485,10.49
09009,"Les Hauts de Castelmaure, Corbières 2019/20",Grenache,9.99,1,3.8,2379,—
09117,Mas Olivier Sélection Faugères Rouge 2020,Syrah,9.99,1,3.8,194,—
07039,Cave du Château des Loges ‘Les 3 Madones’ Beaujolais-Villages 2021,Gamay,9.99,1,,,—
06533,"M. Chapoutier 'Belleruche', Côtes du Rhône 2020/21",Grenache,9.99,1,3.7,28480,12.49
01221,"Definition Claret 2017/18, Medoc",Cabernet Franc,9.99,1,3.6,335,10.99
06292,"Le Cellier des Papes Châteauneuf-du-Pape 2020, Half Bottle",Grenache,9.99,1,4.3,439,—
06587,Calvet Vinsobres 2020,Grenache,9.99,1,,,—
01327,"Vieux Remparts 2019/20, Lussac St-Émilion",Cabernet Franc,9.99,1,3.7,1431,11.49
61293,"Château de la Cour d’Argent 2014, Bordeaux Supérieur",Merlot,9.99,1,3.5,2406,10.99
06234,E. Guigal Côtes du Rhône 2018/19,Grenache,9.99,1,3.7,72918,12.49
09499,"Georges Vigouroux 'Le Grand Retour' Malbec 2018/20, Cahors",Malbec,9.99,1,3.7,471,10.99
05071,Lulu 'l'Alouette Organic Chinon 2019/20,Cabernet Franc,9.99,1,3.6,227,—
11055,"Cave Vinicole de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Noir 2020/21, Alsace",Pinot Noir,9.99,1,3.5,131,—
07041,Moillard-Thomas Beaujolais-Villages,Gamay,9.99,1,3.2,110,—
06067,Definition Côtes Du Rhône 2018/19,Grenache,8.99,1,3.6,707,—
09081,"La Belle Angèle Pinot Noir 2020/21, France",Pinot Noir,8.99,1,3.5,1126,8.74
07101,Definition Beaujolais Villages 2019/20,Gamay,8.99,1,3.6,422,—
09118,Domaine de Valliere ‘La Combe de Vallière’ Minervois 2021,Syrah,8.99,1,4.1,120,—
06374,Famille Perrin Ventoux 2021,Grenache,8.99,1,3.6,46,9.97
06035,"Jaboulet Syrah 2018/19, France",Syrah,8.99,1,3.4,1530,—
09112,"Naudin Père et Fils Pinot Noir 2020, France",Pinot Noir,8.99,1,3.8,154,—
07008,Maison Loron Beaujolais 2020,Gamay,7.99,1,3.9,140,—
09555,"Lâchez-Vous Grenache-Syrah 2019/20, France",Grenache,7.99,1,3.7,614,8.99
